filename,pred_full_ft,conf,pred_nepali_adapter,human_truth
845_020.png,गुंजाएगे,0.842,,
394_053.png,गर्दे,0.9316,गर्दे,
128_006.png,मने,0.9965,मने,
866_018.png,रुनें,0.9326,,
430_048.png,ड्र,0.8785,,
424_015.png,दीवानिवासी,0.87,,
417_025.png,चैथ,0.9523,,
399_005.png,रु,0.952,,
865_010.png,५ं,0.9451,ज़ं,
392_045.png,त्राथः,0.9033,त्राथः,
853_038.png,६,0.9515,,
866_004.png,ज़िन्दग-बाध,0.696,,
827_104.png,ज़ाम,0.9742,ज़ाम,
390_083.png,समस्या,0.9978,समस्या,
835_131.png,त्रियाचेस,0.8911,,
604_046.png,चंदी,0.9958,,
128_117.png,दीव्यन्ट,0.8839,,
128_085.png,ज़र्तार्थ,0.8939,,
390_194.png,धन्यवाद,0.9287,,
416_078.png,ई,0.9583,,
420_020.png,कहानी।,0.858,,
642_083.png,सांथिखे,0.8767,,
838_146.png,ऊर्ध्व,0.9274,ऊर्ध्व,
128_031.png,क्षुविधा,0.9336,,
831_003.png,रोतो,0.9681,रोतो,
413_038.png,चिहान,0.8123,,
86_058.png,पर्ते,0.9165,,
849_050.png,ध्वन,0.9292,,
856_164.png,५-,0.9188,,
827_097.png,कुछ,0.9334,,
604_007.png,लिन्देल,0.8038,,
416_107.png,भौगोलिक,0.9322,,
615_013.png,प,0.9709,,
835_111.png,त्वचा,0.9462,,
431_030.png,संपन्नु,0.923,,
953_022.png,हेल्मू-त्रि,0.8906,,
125_106.png,पुरोधे,0.9757,पुरोधे,
870_046.png,क्रोश,0.8868,,
950_002.png,सोटी,0.9771,सोटी,
403_037.png,त्रिवाद,0.8356,,
856_096.png,ब्रांडेड,0.92,,
606_009.png,सोने,0.9194,,
448_027.png,र,0.9852,,
431_025.png,शिष्क,0.9991,शिष्क,
402_053.png,चू,0.8838,,
416_023.png,ऊँटू,0.9031,,
873_036.png,र्ध्र,0.9123,,
447_006.png,त्रात्र,0.9431,,
392_040.png,शिक्षी,0.871,,
390_178.png,प्रकाशन,0.9998,प्रकाशन,
593_056.png,गर्मेये,0.9304,,
391_043.png,टॉलमा,0.9157,,
469_053.png,न्याय,1.0,न्याय,
958_064.png,हिराशाजनक,0.8874,,
449_028.png,पुत्र,0.9739,पुत्र,
839_023.png,न्युत्क्रमियों,0.8443,,
429_010.png,जीआरपाई,0.9485,जीआरपाई,
951_007.png,लिप्लर,0.8768,,
129_017.png,ब्रह्माले,0.8968,,
864_000.png,४०,0.9867,४०,
616_115.png,१९,0.9509,अश्र,
81_030.png,अब्बेरैं,0.8643,,
396_161.png,श्रात्मक,0.9155,,
593_033.png,४५,0.942,४५,
389_065.png,च,0.9794,,
828_037.png,एन्वायर्नमेंटल,0.9105,एन्वायर्नमेंटल,
433_085.png,चर्चालित,0.8921,,
956_051.png,गर्वे,0.992,गर्वे,
844_027.png,देर्वी,0.9246,,
843_060.png,कार्देटर,0.8166,,
470_001.png,तर्रा,0.898,,
834_114.png,ऋषि,0.9577,ऋषि,
411_045.png,हू,0.962,,
