filename,text
1_000.png,अनाज़र
1_001.png,आकाश
1_002.png,इन्नार
1_006.png,ऋषि
1_008.png,सेना
1_011.png,अँगुर
1_013.png,पढ
1_019.png,पृथा
1_020.png,छाता
1_022.png,कपडा
1_028.png,वाणा
1_030.png,थप्पड़ी
1_031.png,दमकत
1_032.png,धूनुष
1_034.png,परेवों
1_043.png,राइटर
1_045.png,सर्प
1_048.png,त्रियूनें
1_050.png,सप्त
1_051.png,दुईं
1_052.png,तीच
1_053.png,चारा
1_054.png,पॉज
1_056.png,सातात
1_057.png,आहट
1_060.png,सुधार
1_061.png,बाहु
1_062.png,तेह्न
1_066.png,स़त्र
1_067.png,अठार
1_069.png,बूसिस
1_071.png,बाईडर
1_073.png,चॉबीस
1_074.png,पच्चीस
1_082.png,तेतोस
1_085.png,चर्चा
1_105.png,छप्चन
10_005.png,प्रख्या
10_007.png,जीवन
10_011.png,पानी
10_012.png,चर्चँ
10_014.png,सन्ते
10_019.png,क्षण
10_020.png,चर्नीले
10_022.png,टच
10_024.png,चुर्इ
10_025.png,भाषा
10_029.png,ज्ञाण
10_031.png,हे
10_036.png,जीवन
10_039.png,जय
10_046.png,पानीमा
10_050.png,बस्ता
10_052.png,जीविएल
10_056.png,जर्ष
10_057.png,गेही
10_064.png,मात्र
10_077.png,पानी
10_079.png,नीबनाए
10_084.png,खाना
10_087.png,चार्न
10_088.png,जन्मेक
10_092.png,पात्री
10_095.png,निष्काल
10_096.png,क्षय
10_101.png,पत्नी
10_103.png,चाहीन्द्र
10_107.png,मान
10_110.png,लिटर
10_111.png,पानी
10_113.png,चर्चु
10_116.png,नाम
10_122.png,विचारण
10_125.png,मांबि
100_001.png,फ्राट
100_006.png,दाँती
100_009.png,पैरा
100_012.png,शंर
101_000.png,कयान
101_003.png,कुश
101_004.png,व्यक्त
101_005.png,गर्मे
101_010.png,कवच
101_012.png,प्रकार
101_014.png,टा
101_015.png,क्व
101_020.png,कयान
101_022.png,प्रखर
101_025.png,अभिव्यक्त
101_027.png,तरे
101_028.png,रहने
101_030.png,प्रत्यक्ष
101_032.png,हो
101_034.png,माले
101_035.png,मनी
101_037.png,घऱ
101_040.png,खच
101_043.png,कर्मठे
101_044.png,आशाष
101_046.png,अर्ध
101_047.png,सुरुचित
101_048.png,अप्रचल
101_049.png,कयान
101_050.png,गर्जे
101_052.png,आश्चर्यचकित
101_053.png,पायल
101_054.png,आपको
101_056.png,घऱ
101_058.png,मनी
101_059.png,बस्ते
101_060.png,हो
101_061.png,शर्बी
101_062.png,कचना
101_067.png,कथायिता
101_068.png,गरी
101_072.png,मुख्य
101_073.png,अभिव्यक्ति
101_078.png,गारेमा
101_079.png,चिट्सबर्ग
101_080.png,राष्ट्रियों
101_081.png,सूचना
101_084.png,अंश
101_089.png,अंश
101_091.png,अंश
101_093.png,हस्ते
101_094.png,कर्यायता
101_095.png,अश्रा
101_097.png,मन्ध्यों
101_101.png,क्ष
101_102.png,कर्मयाता
101_106.png,चिह्न
101_107.png,हटाड़ने
101_110.png,अंश
101_114.png,चिह्न
101_117.png,लय
101_120.png,चेरे
101_121.png,पार्मी
101_124.png,कवच
101_125.png,अंशाको
101_126.png,डोड़न
101_128.png,गर्वे
101_129.png,प्रयोग
101_132.png,मनेर
101_134.png,भरने
101_135.png,मची
101_136.png,केक
102_000.png,पाठ
102_002.png,नेपाली
102_003.png,पहिचान
102_006.png,पहिचान
102_009.png,बेपाली
102_011.png,पहिचान
102_020.png,शान्तिका
102_023.png,देश
102_024.png,जीवन
102_028.png,बसीबास
102_029.png,परम्परागत
102_030.png,रितिरिवाज़
102_031.png,फला
102_033.png,संस्कॄति
102_035.png,प्राकृतिक
102_040.png,भूरियू
102_041.png,यथावत
102_042.png,धर्म
102_044.png,सोच
102_045.png,दैरा
102_046.png,भारतको
102_047.png,अवस्था
102_048.png,देश
102_051.png,के
102_052.png,के
102_053.png,पक्षधर
102_054.png,सबक
102_055.png,सबक
102_056.png,पक्षधर
102_057.png,सम्पन्न
102_061.png,बुद्ध
102_062.png,जन्मेका
102_063.png,तारा
102_064.png,देश
102_066.png,निन्त
102_068.png,हनू
102_072.png,विचार
102_074.png,समाजवा
102_076.png,बेपाली
102_077.png,समाजवा
102_079.png,सहयोगों
102_081.png,भक्तों
102_083.png,हांसीखुशी
102_086.png,धर्म
102_088.png,विविधता
102_090.png,पारदर्श
102_091.png,प्राकृतिक
102_093.png,ईंचित
102_096.png,कम्पान
102_099.png,प्रयोग
102_100.png,जनाओ
102_102.png,प्रजनन
102_107.png,र्दज
102_108.png,नेपाली
102_109.png,समाजसे
102_110.png,दुर्ब
102_111.png,पक्षपूर
102_112.png,पक्षधर
102_117.png,ध्वनी
102_118.png,गरिब
102_120.png,र्वे
102_121.png,के
102_124.png,प्रकाशक
102_125.png,दबू
102_126.png,४५
103_009.png,व्यार्थ
103_015.png,श्री
103_016.png,गया
103_024.png,व्यवस्था
103_025.png,निष्कार्थ
103_034.png,पर्वों
103_037.png,पाठक
103_048.png,वर्प
103_052.png,४५
103_055.png,ज्ञाप्र
103_057.png,सामाजिक
103_061.png,व्यक्तिगत
103_067.png,रूठ
103_070.png,४०
103_077.png,शान्ति
103_083.png,व्यवस्थान
103_085.png,कारणवश
103_093.png,वार
103_096.png,कप
103_100.png,नोज
103_101.png,चामला
103_108.png,उल्लेख
103_112.png,तार्बी
103_113.png,गर्मी
103_115.png,पूर्व
103_117.png,त्यारीशु
103_120.png,४०
104_001.png,निष्कपट
